EJ415238     Corp,,AM612686     Corp,,JK396513     Corp,,EK744383     Corp,,AN943168     Corp,,EH973309     Corp,,EK534865     Corp,,UV322584     Corp,,EK356949     Corp,,EK349066     Corp,,EK807683     Corp,,QZ096767     Corp,,EK351479     Corp,,EK730384     Corp,,AP637722     Corp,,AP636834     Corp,,EK711830     Corp,,EK868026     Corp,,QZ580245     Corp,,EK875822     Corp,,EK084401     Corp,,AN943163     Corp,,AM661297     Corp,,AQ308303     Corp,,AP004604     Corp,,EI684097     Corp,,EJ810150     Corp,,EK089367     Corp,,LW939488     Corp,,AP116725     Corp,,EC817487     Corp,,EJ522806     Corp,,EK380360     Corp,,AR507927     Corp,,JK299621     Corp,,EJ749534     Corp,,LW939511     Corp,,AP443267     Corp,,JK569492     Corp,,EK824631     Corp,,EH970000     Corp,,QZ661541     Corp,,AM133769     Corp,,EK480568     Corp,,EK134913     Corp,,EI319358     Corp,,AR537701     Corp,,AP116726     Corp,
01/01/2016,117.393,02/27/2017,100.417,03/14/2016,103.96,01/01/2016,93.221,06/20/2017,101.256,01/04/2016,98.149,01/01/2016,96.834,01/01/2016,100.122,01/01/2016,96.857,01/01/2016,98.377,01/01/2016,93.963,08/09/2016,101.994,01/01/2016,96.359,01/01/2016,94.031,10/26/2017,100.199,10/26/2017,100.328,01/01/2016,92.704,01/01/2016,98.309,09/20/2016,100.27,01/01/2016,95.825,01/01/2016,103.298,06/20/2017,101.456,03/01/2017,99.559,12/07/2017,99.935,09/08/2017,100.236,01/01/2016,109.212,01/01/2016,120.596,01/01/2016,95.554,07/21/2016,100.339,09/14/2017,99.665,01/01/2016,130.556,01/01/2016,98.705,01/01/2016,106.977,03/02/2018,99.853,03/02/2016,99.621,01/01/2016,113.021,07/21/2016,101.34,10/09/2017,99.878,03/24/2016,99.718,01/01/2016,94.808,01/01/2016,108.32,09/27/2016,99.962,01/16/2017,99.397,01/01/2016,103.081,01/01/2016,107.006,01/01/2016,111.118,03/09/2018,102.007,09/14/2017,99.97
01/04/2016,117.289,02/28/2017,100.337,03/15/2016,103.031,01/04/2016,93.397,06/21/2017,101.429,01/05/2016,92.581,01/04/2016,97.671,01/04/2016,100.033,01/04/2016,96.79,01/04/2016,98.289,01/04/2016,94.307,08/10/2016,102.143,01/04/2016,96.188,01/04/2016,93.898,10/27/2017,100.361,10/27/2017,100.501,01/04/2016,92.782,01/04/2016,98.129,09/21/2016,100.013,01/04/2016,94.411,01/04/2016,103.295,06/21/2017,101.547,03/02/2017,99.584,12/08/2017,99.784,09/11/2017,100.303,01/04/2016,108.919,01/04/2016,120.82,01/04/2016,95.562,07/22/2016,100.252,09/15/2017,99.283,01/04/2016,131.566,01/04/2016,98.464,01/04/2016,107.159,03/05/2018,99.741,03/03/2016,98.765,01/04/2016,112.826,07/22/2016,101.389,10/10/2017,99.841,03/25/2016,99.781,01/04/2016,95.042,01/04/2016,108.221,09/28/2016,100.158,01/17/2017,99.248,01/04/2016,103.002,01/04/2016,107.275,01/04/2016,111.125,03/12/2018,102.236,09/15/2017,99.623
01/05/2016,117.171,03/01/2017,100.32,03/16/2016,103.031,01/05/2016,93.213,06/22/2017,101.142,01/06/2016,88.378,01/05/2016,98.249,01/05/2016,100.108,01/05/2016,96.698,01/05/2016,98.283,01/05/2016,94.556,08/11/2016,102.168,01/05/2016,96.134,01/05/2016,93.901,10/30/2017,100.363,10/30/2017,100.541,01/05/2016,93.207,01/05/2016,97.858,09/22/2016,100.878,01/05/2016,94.071,01/05/2016,103.307,06/22/2017,101.253,03/03/2017,99.55,12/11/2017,99.881,09/12/2017,100.164,01/05/2016,108.959,01/05/2016,121.012,01/05/2016,95.653,07/25/2016,100.255,09/18/2017,99.183,01/05/2016,131.9,01/05/2016,98.577,01/05/2016,107.233,03/06/2018,99.781,03/04/2016,99.305,01/05/2016,112.826,07/25/2016,101.427,10/11/2017,99.688,03/28/2016,99.782,01/05/2016,95.248,01/05/2016,108.281,09/29/2016,100.171,01/18/2017,99.11,01/05/2016,103.231,01/05/2016,107.102,01/05/2016,111.113,03/13/2018,101.753,09/18/2017,99.254
01/06/2016,116.762,03/02/2017,100.301,03/17/2016,103.161,01/06/2016,93.009,06/23/2017,101.255,01/07/2016,83.257,01/06/2016,98.171,01/06/2016,100.017,01/06/2016,96.477,01/06/2016,98.198,01/06/2016,94.666,08/12/2016,102.522,01/06/2016,96.107,01/06/2016,93.766,10/31/2017,100.344,10/31/2017,100.577,01/06/2016,93.181,01/06/2016,97.771,09/23/2016,100.884,01/06/2016,94.289,01/06/2016,103.221,06/23/2017,101.322,03/06/2017,99.569,12/12/2017,99.968,09/13/2017,100.116,01/06/2016,108.857,01/06/2016,120.96,01/06/2016,95.84,07/26/2016,100.17,09/19/2017,99.311,01/06/2016,132.098,01/06/2016,98.532,01/06/2016,107.104,03/07/2018,99.752,03/07/2016,99.354,01/06/2016,112.73,07/26/2016,101.247,10/12/2017,99.857,03/29/2016,99.542,01/06/2016,95.381,01/06/2016,108.257,09/30/2016,100.082,01/19/2017,99.126,01/06/2016,102.992,01/06/2016,106.876,01/06/2016,111.036,03/14/2018,101.194,09/19/2017,99.406
01/07/2016,115.889,03/03/2017,99.95,03/18/2016,103.188,01/07/2016,92.203,06/26/2017,101.285,01/08/2016,81.536,01/07/2016,97.933,01/07/2016,99.602,01/07/2016,95.819,01/07/2016,97.797,01/07/2016,93.744,08/15/2016,102.872,01/07/2016,95.927,01/07/2016,93.336,11/01/2017,100.381,11/01/2017,100.662,01/07/2016,92.887,01/07/2016,97.539,09/26/2016,100.608,01/07/2016,93.633,01/07/2016,102.367,06/26/2017,101.372,03/07/2017,99.548,12/13/2017,99.978,09/14/2017,100.096,01/07/2016,108.393,01/07/2016,120.314,01/07/2016,95.211,07/27/2016,100.266,09/20/2017,99.939,01/07/2016,131.536,01/07/2016,97.756,01/07/2016,106.356,03/08/2018,99.928,03/08/2016,99.275,01/07/2016,111.834,07/27/2016,101.507,10/13/2017,100.216,03/30/2016,100.021,01/07/2016,95.119,01/07/2016,108.015,10/03/2016,100.262,01/20/2017,99.279,01/07/2016,102.216,01/07/2016,106.255,01/07/2016,110.721,03/15/2018,100.875,09/20/2017,99.97
01/08/2016,115.999,03/06/2017,99.885,03/21/2016,103.202,01/08/2016,92.426,06/27/2017,100.986,01/11/2016,79.355,01/08/2016,97.986,01/08/2016,99.512,01/08/2016,95.816,01/08/2016,97.724,01/08/2016,94.081,08/16/2016,102.935,01/08/2016,95.968,01/08/2016,93.402,11/02/2017,100.425,11/02/2017,100.738,01/08/2016,93.065,01/08/2016,97.534,09/27/2016,100.092,01/08/2016,93.803,01/08/2016,102.161,06/27/2017,101.105,03/08/2017,99.418,12/14/2017,99.94,09/15/2017,99.988,01/08/2016,108.382,01/08/2016,120.606,01/08/2016,95.355,07/28/2016,100.262,09/21/2017,99.813,01/08/2016,131.197,01/08/2016,97.896,01/08/2016,106.622,03/09/2018,99.971,03/09/2016,99.047,01/08/2016,112.27,07/28/2016,101.566,10/16/2017,100.477,03/31/2016,100.394,01/08/2016,95.106,01/08/2016,108.13,10/04/2016,100.629,01/23/2017,99.693,01/08/2016,102.596,01/08/2016,106.591,01/08/2016,110.903,03/16/2018,101.027,09/21/2017,99.868
01/11/2016,115.236,03/07/2017,99.765,03/22/2016,103.173,01/11/2016,91.827,06/28/2017,101.025,01/12/2016,75.808,01/11/2016,97.945,01/11/2016,99.072,01/11/2016,95.554,01/11/2016,97.414,01/11/2016,93.709,08/17/2016,102.965,01/11/2016,95.889,01/11/2016,93.308,11/03/2017,100.5,11/03/2017,100.855,01/11/2016,92.94,01/11/2016,97.468,09/28/2016,100.072,01/11/2016,93.34,01/11/2016,101.649,06/28/2017,100.792,03/09/2017,99.227,12/15/2017,99.865,09/18/2017,100.103,01/11/2016,108.084,01/11/2016,120.091,01/11/2016,94.951,07/29/2016,100.383,09/22/2017,99.708,01/11/2016,131.073,01/11/2016,97.611,01/11/2016,106.513,03/12/2018,100.025,03/10/2016,99.366,01/11/2016,111.992,07/29/2016,101.873,10/17/2017,100.559,04/01/2016,100.286,01/11/2016,94.771,01/11/2016,108.055,10/05/2016,100.399,01/24/2017,99.768,01/11/2016,102.006,01/11/2016,106.359,01/11/2016,110.79,03/19/2018,100.578,09/22/2017,99.708
01/12/2016,113.878,03/08/2017,99.653,03/23/2016,103.242,01/12/2016,91.219,06/29/2017,100.613,01/13/2016,76.892,01/12/2016,97.878,01/12/2016,98.562,01/12/2016,95.268,01/12/2016,97.225,01/12/2016,93.59,08/18/2016,102.863,01/12/2016,95.826,01/12/2016,92.994,11/06/2017,100.492,11/06/2017,100.909,01/12/2016,93.113,01/12/2016,97.354,09/29/2016,99.989,01/12/2016,93.565,01/12/2016,101.389,06/29/2017,99.745,03/10/2017,99.073,12/18/2017,99.887,09/19/2017,100.112,01/12/2016,107.744,01/12/2016,119.506,01/12/2016,94.737,08/01/2016,100.393,09/25/2017,99.775,01/12/2016,131.034,01/12/2016,97.349,01/12/2016,106.249,03/13/2018,99.941,03/11/2016,100.785,01/12/2016,111.904,08/01/2016,101.832,10/18/2017,100.306,04/04/2016,100.562,01/12/2016,94.529,01/12/2016,107.973,10/06/2016,100.296,01/25/2017,99.875,01/12/2016,101.307,01/12/2016,106.174,01/12/2016,110.53,03/20/2018,100.481,09/25/2017,99.75
01/13/2016,113.873,03/09/2017,99.456,03/24/2016,103.159,01/13/2016,91.072,06/30/2017,100.707,01/14/2016,82.614,01/13/2016,97.858,01/13/2016,98.471,01/13/2016,95.254,01/13/2016,97.249,01/13/2016,93.917,08/19/2016,102.901,01/13/2016,95.843,01/13/2016,93.004,11/07/2017,99.965,11/07/2017,100.243,01/13/2016,93.003,01/13/2016,97.378,09/30/2016,100.188,01/13/2016,93.546,01/13/2016,101.378,06/30/2017,99.776,03/13/2017,99.008,12/19/2017,99.896,09/20/2017,100.208,01/13/2016,107.474,01/13/2016,119.677,01/13/2016,94.523,08/02/2016,100.325,09/26/2017,99.838,01/13/2016,130.649,01/13/2016,97.189,01/13/2016,105.908,03/14/2018,99.764,03/14/2016,101.553,01/13/2016,111.806,08/02/2016,101.364,10/19/2017,100.274,04/05/2016,100.29,01/13/2016,94.259,01/13/2016,107.955,10/07/2016,99.872,01/26/2017,99.856,01/13/2016,101.457,01/13/2016,105.678,01/13/2016,110.602,03/21/2018,100.633,09/26/2017,99.804
01/14/2016,112.918,03/10/2017,99.352,03/25/2016,103.218,01/14/2016,90.19,07/03/2017,100.706,01/15/2016,82.947,01/14/2016,97.337,01/14/2016,98.2,01/14/2016,94.594,01/14/2016,97.147,01/14/2016,93.58,08/22/2016,102.846,01/14/2016,95.879,01/14/2016,92.386,11/08/2017,99.215,11/08/2017,99.322,01/14/2016,92.388,01/14/2016,96.929,10/03/2016,100.101,01/14/2016,92.885,01/14/2016,100.845,07/03/2017,99.862,03/14/2017,98.44,12/20/2017,99.873,09/21/2017,100.208,01/14/2016,106.254,01/14/2016,119.139,01/14/2016,92.885,08/03/2016,100.415,09/27/2017,99.854,01/14/2016,129.473,01/14/2016,95.83,01/14/2016,103.432,03/15/2018,99.624,03/15/2016,100.497,01/14/2016,110.202,08/03/2016,101.414,10/20/2017,99.813,04/06/2016,100.118,01/14/2016,93.119,01/14/2016,107.717,10/10/2016,99.828,01/27/2017,99.756,01/14/2016,100.397,01/14/2016,103.645,01/14/2016,110.207,03/22/2018,100.208,09/27/2017,99.807
